constituency,party,name,gender,birth,job,academic,career,votes
여수시을,민주통합당,주승용(朱昇鎔),남,1952/07/27(59세),국회의원,고려대학교 경영대학원 졸업(경영학 석사),17대·18대 국회의원前 민주통합당 정책위의장,44313(70.50)
순천시곡성군,통합진보당,김선동(金先東),남,1967/09/09(44세),(현)국회의원,고려대학교 물리학과 제적(1985년 3월 ~ 1989년 2월),(전) 2006년 민주노동당 사무총장(현) 18대 국회의원,79774(56.40)
나주시화순군,민주통합당,배기운(裵奇雲),남,1950/09/29(61세),정당인,서울대학교 대학원 법학과 졸업,(전) 보훈복지공단 이사장(전) 제16대국회의원,39887(52.73)
광양시구례군,민주통합당,우윤근(禹潤根),남,1957/09/24(54세),국회의원,전남대학교 대학원 법학과 졸업(법학박사),(전)민주당 원내수석부대표(현)국회법제사법위원회 위원장,39394(53.00)
담양군함평군영광군장성군,민주통합당,이낙연(李洛淵),남,1952/12/20(59세),국회의원,서울대학교 법학과 졸업,(현) 18대 국회의원 (현) 민주통합당 전남도당위원장,63887(77.32)
고흥군보성군,민주통합당,김승남(金承南),남,1966/10/06(45세),정당인,전남대학교 행정대학원 행정학석사 졸업,전)87년 전남대학교 총학생회장전)광주테크노파크 기업지원단장,32336(51.67)
장흥군강진군영암군,민주통합당,황주홍(黃柱洪),남,1952/02/27(60세),정당인,미국 미주리대학교 대학원 정치학박사과정 5년 졸업(정치학박사),(전)전남 강진군수(3선)(전)건국대학교 정치외교학과 교수,34837(51.87)
해남군완도군진도군,민주통합당,김영록(金瑛錄),남,1955/02/17(57세),국회의원,미국 뉴욕주 시라큐스대학 맥스웰대학원 행정학과 2년 졸업(학위명:행정학석사),(현)18대 국회의원(전)전남 행정부지사,44085(56.04)
무안군신안군,민주통합당,이윤석(李潤錫),남,1960/03/16(52세),국회의원,경남대학교 대학원 정치외교학과 정치학박사 졸업,(현) 민주통합당 원내부대표(현) 민주통합당 무안신안지역위원장,37477(64.38)
포항시북구,새누리당,이병석(李秉錫),남,1952/10/28(59세),국회의원,고려대학교 대학원 졸업(정치학박사),161718대 국회의원전)국회 국토해양위원장,74824(70.44)
포항시남구울릉군,새누리당,김형태(金亨泰),남,1952/12/10(59세),정당인,국민대학교 정치외교학과 졸업,전)KBS 본사 국장전)(전)한나라당 공천배심위원,45775(41.24)
경주시,새누리당,정수성(鄭壽星),남,1946/01/02(66세),국회의원,경북고등학교 졸업,(현) 제18대 국회의원(전) 제1군사령관(육군대장),67455(57.33)
김천시,새누리당,이철우(李喆雨),남,1955/08/15(56세),국회의원,연세대학교 행정대학원 졸업(정치학석사),(전)경상북도부지사(현)국회의원,49909(83.45)
안동시,새누리당,김광림(金光琳),남,1948/04/28(63세),국회의원,경희대학교 대학원 졸업 행정학 박사,(현)18대 국회의원(전)재정경제부 차관,63561(82.49)
구미시갑,새누리당,심학봉(沈學鳳),남,1961/04/11(51세),(현)구미경제발전위원회위원장,미조리-콜롬비아대학교 경제학과 졸업(경제학석사 95.12~97.12),(전)청와대 경제수석실 지식경제비서관실 선임행정관(전)지식경제부 경제자유구역 기획단장,52353(61.23)
구미시을,새누리당,김태환(金泰煥),남,1943/09/24(68세),국회의원,연세대학교 정치외교학과 졸업,(현)제18대 국회의원(현)새누리당 중앙위원회 의장,38090(57.94)
영주시,새누리당,장윤석(張倫碩),남,1950/01/05(62세),제18대 국회의원,서울대학교 법과대학 졸업,전)법무부 검찰국장(검사장)현)국회 예산결산위원회 새누리당 간사,32038(57.11)
영천시,새누리당,정희수(鄭熙秀),남,1953/10/25(58세),국회의원,미국 일리노이대학교 대학원 경제학과 졸업(경제학 박사) (수학기간:1985.8~1992.10),(현)새누리당 영천시 국회의원(전)한나라당 사무총장 직무대행,23331(45.52)
상주시,새누리당,김종태(金鍾泰),남,1949/03/16(63세),한국군사문제연구원 연구위원,수원대학교 행정대학원 졸업(행정학박사),(전)국군기무사령관(전)국가안보총괄점검회의 위원,33817(60.60)
문경시예천군,새누리당,이한성(李翰成),남,1957/04/05(55세),국회의원,서울대학교대학원법학과졸업(법학박사),(전)창원지검검사장(현)제18대국회의원,37040(53.26)
경산시청도군,새누리당,최경환(崔炅煥),남,1955/02/27(57세),국회의원,위스콘신대학교 경제학 박사 졸업(1987.9.~1991.5.),(前)지식경제부 장관(現)제18대 국회의원,75876(63.60)
고령군성주군칠곡군,새누리당,이완영(李完永),남,1957/07/07(54세),정당인,한국항공대학교대학원 항공운항관리학과 졸업(경영학박사),(전)대구지방고용노동청장(현)새누리당노동수석 전문위원,42569(50.49)
군위군의성군청송군,새누리당,김재원(金在原),남,1964/12/20(47세),영남대 법대 겸임교수,서울대학교 행정대학원 졸업,(전) 제17대 국회의원(현) 중앙당 법률지원단장,44207(72.67)
영양군영덕군봉화군울진군,새누리당,강석호(姜碩鎬),남,1955/12/03(56세),정치인(국회의원),한국외국어대학교 스페인어과 졸업,현)제18대 국회의원(농림수산식품위원회 간사)전)한나라당 원내부대표,43060(55.00)
창원시의창구,새누리당,박성호(朴成浩),남,1957/03/13(55세),대학교수,경희대학교 대학원 경제학과 졸업(경제학 박사),(전)국립 창원대학교 제5대 총장(현)어린이재단 경남지역본부후원회 고문,58140(54.12)
창원시성산구,새누리당,강기윤(姜起潤),남,1960/06/04(51세),일진금속공업(주) 대표이사,창원대학교 대학원 졸업(행정학 박사),(전)한나라당 18대 창원을 국회의원 출마(전)경상남도의회 제7대8대 도의원,52502(49.04)
창원시마산합포구,새누리당,이주영(李柱榮),남,1951/09/30(60세),국회의원(제18대),서울대학교 법과대학 법학과 졸업,(전)제1617대 국회의원(현)새누리당 정책위의장,57035(68.82)
창원시마산회원구,새누리당,안홍준(安鴻俊),남,1951/03/02(61세),국회의원,경상대학교 대학원 졸업(의학박사),(현)제1718대 국회의원(현)새누리당 정책위 선임부의장,53382(53.85)
창원시진해구,새누리당,김성찬(金盛贊),남,1954/05/07(57세),KAIST 초빙교수,해군사관학교 졸업(30기),(전)해군참모총장(28대)(현)세종대학교 석좌교수,40304(58.64)
진주시갑,새누리당,박대출(朴大出),남,1961/03/18(51세),정당인,연세대학교 행정대학원 외교안보전공 졸업(행정학 석사),(전)서울신문 논설위원(전)부경대학교 인문사회과학대학 겸임교수,31463(39.09)
진주시을,새누리당,김재경(金在庚),남,1961/10/10(50세),국회의원,경상대학교 법경대학(현 법과대학) 법학과 졸업,(전)한나라당 경남도당 위원장(현)제18대 국회의원,38765(54.20)
통영시고성군,새누리당,이군현(李君賢),남,1952/03/12(60세),국회의원,미국 캔자스주립대학교 교육행정학 박사(1981.1.~1983.7.),現)제18대 국회의원現)새누리당 경남도당 위원장,50625(61.44)
사천시남해군하동군,새누리당,여상규(余尙奎),남,1948/09/15(63세),국회의원,서울대학교 법과대학 법학과 졸업,(현) 국회의원(전) 서울고등법원 판사,57840(50.30)
김해시갑,민주통합당,민홍철(閔洪喆),남,1961/04/18(50세),변호사,부산대학교 대학원 법학과 졸업(석사),(전)국방부 고등군사법원장(현)변호사(법무법인 재유 대표),41358(48.33)
김해시을,새누리당,김태호(金台鎬),남,1962/08/21(49세),국회의원,서울대학교 대학원 졸업(교육학박사),(전)경남도지사(현)18대 국회의원,63290(52.11)
밀양시창녕군,새누리당,조해진(曺海珍),남,1963/08/04(48세),국회의원,서울대 대학원 법학과 졸업(법학석사),(전) 한나라당 대변인(현) 제18대 새누리당 국회의원,42041(52.81)
거제시,무소속,김한표(金漢杓),남,1954/08/08(57세),정치인,한국외국어대학교 대학원 행정학과 졸업(행정학박사),(전) 거제경찰서장,32647(35.33)
양산시,새누리당,윤영석(尹永碩),남,1964/10/07(47세),아시아도시연맹 이사장,미국 듀크대(DUKE) 석사(MA 2002.07~2004.06),제37회 행정고시 합격(전) 하버드대 객원연구원,56808(52.30)
의령군함안군합천군,새누리당,조현룡(趙顯龍),남,1945/12/30(66세),정당인,마산고등학교 졸업,(전) 건설교통부 부산항공청장(전) 한국철도시설공단이사장,39614(54.48)
산청군함양군거창군,새누리당,신성범(慎聖範),남,1963/06/01(48세),국회의원,서울대학교 사회과학대학 인류학과 졸업,(현)18대국회의원(전)한나라당 원내대변인,33158(46.22)
제주시갑,민주통합당,강창일(姜昌一),남,1952/01/28(60세),국회의원,동경대학대학원인문사회계연구과졸업.문학박사(동양사학전공기간:'87.4.1~'94.3.31) ,(현) 국회 독도영토수호대책특별위원장(현) 국회 예산결산특별위원회 위원,42006(43.35)
제주시을,민주통합당,김우남(金宇南),남,1955/05/23(56세),정치인,경희대학교 대학원(석사과정) 경영학과(경영학) 수료,제1718대 국회의원제67대 제주도의회 의원,46236(69.89)
서귀포시,민주통합당,김재윤(金才允),남,1965/05/24(46세),국회의원,명지대학교 대학원 국어국문학과(현대문학 문학박사) 졸업,현) 제18대 국회의원현) 민주통합당 원내부대표,26992(37.10)
