constituency,party,name,gender,birth,job,academic,career,votes
세종특별자치시,민주통합당,이해찬(李海瓚),남,1952/07/10(59세),정당인,서울대학교 사회학과 졸업,(전) 제36대 국무총리(전) 제13~17대 국회의원,22192(47.88)
수원시갑,민주통합당,이찬열(李燦烈),남,1959/07/15(52세),국회의원,연세대학교 경제대학원 졸업(경제학 석사),(현)제18대 국회의원(현)민주통합당 원내부대표,63192(51.62)
수원시을,민주통합당,신장용(申長容),남,1963/12/01(48세),정당인,경남대학교 정치외교학과 졸업,(전)민주당 부대변인(전)경희대학교 테크노경영대학원 겸임교수,45400(40.53)
수원시병,새누리당,남경필(南景弼),남,1965/01/20(47세),국회의원,美 예일대학교 경영대학원 졸업(경영학 석사 1994. 8.~1996. 5.),(전) 한나라당 최고위원(현) 제18대 국회의원,50011(50.34)
수원시정,민주통합당,김진표(金振杓),남,1947/05/04(64세),국회의원,미국 위스콘신대학원(매디슨캠퍼스) 공공정책학과 석사졸업(1986. 6 ~ 1988. 5),(전) 참여정부 경제·교육부총리(현) 민주통합당 원내대표,68274(61.02)
성남시수정구,민주통합당,김태년(金太年),남,1965/03/20(47세),정당인,경희대학교 행정대학원 졸업(행정학석사),(전)17대 국회의원(현)노무현재단 기획위원,51142(54.76)
성남시중원구,통합진보당,김미희(金美希),여,1966/01/18(46세),정당인,서울대학교 약학대학 약학과 졸업,(전)이재명 성남시장 인수위원장(전)성남시초등학교학부모회장협의회 대표,46062(46.77)
성남시분당구갑,새누리당,이종훈(李宗勳),남,1960/07/01(51세),대학교수(명지대 경영학과),美 코넬대대학원 경제학 박사(수학기간 4년),(전)KDI 연구위원(전)고용노동부 정책자문위원,66028(51.45)
성남시분당구을,새누리당,전하진(田夏鎭),남,1958/09/02(53세),기업인,연세대학교 경영대학원 졸업(석사),(전) (주)한글과컴퓨터 대표이사(현) 세라인재개발원(주) 대표이사,52362(52.59)
의정부시갑,민주통합당,문희상(文喜相),남,1945/03/03(67세),국회의원,서울대학교 법학과 졸업,(전)대통령비서실장(현)국회의원,39252(47.01)
의정부시을,새누리당,홍문종(洪文鐘),남,1955/04/05(57세),교육자,하버드대학교 졸업(교육학 박사 1989.9~1992.6),(전)국회의원 (15 16대)(현)경민대학교 총장,41726(49.07)
안양시만안구,민주통합당,이종걸(李鍾杰),남,1957/05/22(54세),변호사,서울대학교 법과대학 공법학과 졸업,(현)18대 국회의원(현)대한농구협회 회장,58328(50.87)
안양시동안구갑,민주통합당,이석현(李錫玄),남,1951/03/16(61세),국회의원,서울대학교 법대 졸업,"(전)민주당 정치개혁특별위원회 위원장(현)""촛불승리 2012""지지후보",43869(54.85)
안양시동안구을,새누리당,심재철(沈在哲),남,1958/01/18(54세),국회의원,서울대학교 사범대학 영어교육과 졸업,(전)서울대학교 총학생회장(전)국회 예결위원장,42405(51.68)
부천시원미구갑,민주통합당,김경협(金炅俠),남,1962/11/07(49세),[사단법인]한국고용복지센터 상임이사,고려대학교 노동대학원(경제학석사) 졸업,(전)한국노총 부천지역지부 의장(전)노무현대통령 청와대 사회조정 비서관,33397(49.36)
부천시원미구을,민주통합당,설훈(薛勳),남,1953/04/23(58세),정당인,고려대학교 문과대학 사학과 졸업,(전)15.16대 국회의원(현)민주통합당 부천시원미구을 지역위원장,63758(56.01)
부천시소사구,민주통합당,김상희(金相姬),여,1954/05/18(57세),국회의원,이화여자대학교 약학대학 제약학과 졸업,(전)노무현 대통령 자문 지속가능발전위원회 위원장(장관급)(현)제18대 국회의원(민주통합당 비례대표),51300(51.62)
부천시오정구,민주통합당,원혜영(元惠榮),남,1951/09/27(60세),정당인,서울대학교 사범대학 역사교육과 졸업,(전) ㈜ 풀무원식품 창업·경영(전) 민선 2·3대 부천시장,38350(53.44)
광명시갑,민주통합당,백재현(白在鉉),남,1951/07/04(60세),국회의원,경기대학교 무역학과 졸업,(현) 민주통합당 정책위수석부의장(전) 광명시장(민선23기),35657(51.04)
광명시을,민주통합당,이언주(李彦周),여,1972/11/08(39세),변호사,연세대 법무대학원 경제법무전공 석사,(현) 민주통합당정책위부의장(전) S-Oil 법무총괄 상무,43441(50.09)
평택시갑,새누리당,원유철(元裕哲),남,1962/09/26(49세),국회의원,고려대학교 정치외교학과 졸업,(현)국회 국방위원장(제151618대 국회의원)(전)경기도 정무부지사,42031(60.25)
평택시을,새누리당,이재영(李在暎),남,1956/08/24(55세),준종합건설(주) 회장,용인대학교 경영대학원 경영학과 재학,(전)한나라당 경기도의회의원(현)새누리당중앙당부대변인,40036(44.94)
양주시동두천시,민주통합당,정성호(鄭成湖),남,1962/06/02(49세),변호사,서울대학교 법과대학 사법학과 졸업,제17대 국회의원(현)경기도교육청 고문변호사,60016(53.74)
안산시상록구갑,민주통합당,전해철(全海澈),남,1962/05/18(49세),법무법인 해마루 대표변호사,고려대학교 법과대학 법학과 졸업,(전)노무현정부 청와대 민정수석(현)민주통합당 안산상록구갑 지역위원장,46927(60.76)
안산시상록구을,민주통합당,김영환(金榮煥),남,1955/05/27(56세),국회의원,연세대학교 경제대학원 공공발전전공 석사과정졸업(경제학석사),(전)과학기술부 장관(현)국회 지식경제위원회 위원장,34509(59.58)
안산시단원구갑,새누리당,김명연(金明淵),남,1964/02/28(48세),정당인,한양대학교 행정ㆍ자치대학원 지방자치학과 졸업(지방자치학석사),(전)안산시의원(전)안산시 교육발전위원회위원,26767(43.37)
안산시단원구을,민주통합당,부좌현(夫佐炫),남,1956/05/13(55세),정당인,한양대학교 행정대학원 행정학과 졸업(행정학석사),(현)민주통합당 정책위원회 부의장(현)안산시단원구을지역위원회 위원장,29176(48.90)
고양시덕양구갑,통합진보당,심상정(沈相奵),여,1959/02/20(53세),정당인,서울대학교 사회교육과 졸업,(전)국회의원(현)통합진보당 공동대표,43928(49.37)
고양시덕양구을,새누리당,김태원(金兌原),남,1951/03/19(61세),국회의원,연세대학교 행정대학원 행정학석사,(현)제18대 국회의원(현)중소기업과 골목상권을 지키는 국회의원 모임 회원,38097(48.38)
고양시일산동구,민주통합당,유은혜(兪銀惠),여,1962/10/02(49세),정당인,이화여자대학교 정책과학대학원 정책과학과 졸업,(전)민주당 수석부대변인(현)민주통합당 일산동구 지역위원장,60236(51.59)
고양시일산서구,민주통합당,김현미(金賢美),여,1962/11/29(49세),정당인,연세대학교 정치외교학과 졸업,(전) 노무현대통령비서실 국내언론비서관(전) 17대 국회의원,63432(50.64)
의왕시과천시,민주통합당,송호창(宋晧彰),남,1967/02/14(45세),변호사,인하대학교 경제학과 졸업,(전) 박원순 서울시장후보대변인(전) 민주사회를 위한 변호사모임 사무차장,57120(55.09)
구리시,민주통합당,윤호중(尹昊重),남,1963/03/27(49세),정당인,서울대학교 철학과 졸업,(전) 제17대 국회의원(현) 민주통합당 구리시 지역위원회 위원장,40524(48.67)
남양주시갑,민주통합당,최재성(崔宰誠),남,1965/09/09(46세),국회의원,동국대학교 대학원 행정학과 박사과정 수료,(현)제18대 국회의원(전)민주당 대변인,59468(53.27)
남양주시을,민주통합당,박기춘(朴起春),남,1956/05/01(55세),국회의원,경희대학교 대학원 행정학과 졸업(행정학 박사),(전) 민주당 경기도당위원장(현) 경희대학교 공공대학원 객원교수,62329(56.68)
오산시,민주통합당,안민석(安敏錫),남,1966/08/13(45세),국회의원,미국 북콜로라도주립대학교 교육학 박사(1990~1992),(현) 국회교육과학기술위원회 간사(현) 18대 국회의원,40765(57.36)
화성시갑,새누리당,고희선(高羲善),남,1949/09/21(62세),기업인,반월중학교졸업,(현)농우바이오 회장(전)제17대 국회의원,37244(41.77)
